DATE,LFWA64TTUSM647S
2021-10-01,205370913.422304
2021-11-01,205364326.70385203
2021-12-01,205320479.360096
2022-01-01,207106806.899557
2022-02-01,207104221.83809102
2022-03-01,207013003.70449
2022-04-01,207064955.401875
2022-05-01,207270515.766814
2022-06-01,207394728.33475
2022-07-01,207407819.585438
2022-08-01,207370650.96785697
2022-09-01,207453580.524705
2022-10-01,207431164.67844102
2022-11-01,207521914.19028
2022-12-01,207524486.32236
2023-01-01,208146215.794072
2023-02-01,208253373.170826
2023-03-01,208290967.184404
2023-04-01,208392885.848337
2023-05-01,208612844.166314
2023-06-01,208706919.962132
2023-07-01,208779237.25809
2023-08-01,208906586.754592
2023-09-01,209117169.78230798
2023-10-01,209039442.186612
