DATE,LFWA64TTUSM647S
1977-01-01,135145847.099439
1977-02-01,135351123.83066002
1977-03-01,135573966.491703
1977-04-01,135838914.21395603
1977-05-01,136139485.019588
1977-06-01,136339400.022982
1977-07-01,136553487.579376
1977-08-01,136723323.478015
1977-09-01,136839343.341818
1977-10-01,137170462.44677702
1977-11-01,137348689.249529
1977-12-01,137498215.186853
1978-01-01,137670910.13127503
1978-02-01,137858567.17831302
1978-03-01,138032251.37851202
1978-04-01,138106615.842094
1978-05-01,138359395.438443
1978-06-01,138701828.58693
1978-07-01,138823143.55860302
1978-08-01,138953121.028173
1978-09-01,139102986.326031
1978-10-01,139333230.776352
1978-11-01,139569983.229424
1978-12-01,139787156.387568
1979-01-01,140085089.341308
1979-02-01,140276686.314963
1979-03-01,140436185.616612
1979-04-01,140465279.85911003
1979-05-01,140678990.26938
1979-06-01,141078920.24933898
1979-07-01,141179880.42783
1979-08-01,141309899.631709
1979-09-01,141485358.193106
1979-10-01,141726265.832255
1979-11-01,141943516.051302
1979-12-01,142155961.679976
1980-01-01,142426112.523495
1980-02-01,142601560.395816
1980-03-01,142750495.28800002
1980-04-01,142870760.935086
1980-05-01,143194376.24123502
1980-06-01,143422001.66056898
1980-07-01,143583866.607355
1980-08-01,143810767.996621
1980-09-01,143905872.130172
1980-10-01,144014420.43839902
1980-11-01,144156735.661343
1980-12-01,144233227.285425
1981-01-01,144349219.21464998
1981-02-01,144476202.550515
1981-03-01,144664958.130153
1981-04-01,144844881.072961
1981-05-01,145090715.14532402
1981-06-01,145392240.219136
1981-07-01,145482278.662504
1981-08-01,145579202.373081
1981-09-01,145640930.171879
1981-10-01,145815216.30531102
1981-11-01,145970618.506325
1981-12-01,146087023.883255
1982-01-01,145928919.72833303
1982-02-01,146021042.584448
1982-03-01,146212042.28001502
1982-04-01,146535781.324561
1982-05-01,146812493.729596
1982-06-01,146955425.884475
1982-07-01,147079487.411075
1982-08-01,147240664.490478
1982-09-01,147389269.329086
1982-10-01,147580799.512584
1982-11-01,147629851.659094
1982-12-01,147748898.660705
1983-01-01,147226178.047897
1983-02-01,147330982.633565
1983-03-01,147636881.354432
1983-04-01,147974863.34645
1983-05-01,148251453.579639
1983-06-01,148287658.626511
1983-07-01,148471098.265555
1983-08-01,148602898.367626
1983-09-01,148727875.96690097
1983-10-01,148853388.323233
1983-11-01,148924513.47265702
1983-12-01,149073264.473387
1984-01-01,149123150.931892
1984-02-01,149270403.252972
1984-03-01,149423864.571578
1984-04-01,149650511.896658
1984-05-01,149742204.853312
1984-06-01,149941733.837033
1984-07-01,150000004.574519
1984-08-01,150085598.224816
1984-09-01,150264980.123411
1984-10-01,150353620.974512
1984-11-01,150518550.97465798
1984-12-01,150717223.044593
1985-01-01,150512289.027575
1985-02-01,150627848.156905
1985-03-01,150782732.698992
1985-04-01,150942482.10098
1985-05-01,151019657.560847
1985-06-01,151215320.19184598
1985-07-01,151229592.992658
1985-08-01,151338051.729846
1985-09-01,151470879.726103
1985-10-01,151609527.960257
1985-11-01,151784862.655348
1985-12-01,151944880.06845
1986-01-01,152391590.789654
1986-02-01,152474665.70310998
1986-03-01,152675450.019131
1986-04-01,152718422.368905
1986-05-01,152905742.92450202
1986-06-01,152989039.509605
1986-07-01,153086128.06387302
1986-08-01,153260976.745043
1986-09-01,153425374.159198
1986-10-01,153546514.39046
1986-11-01,153735606.824125
1986-12-01,153833785.072405
1987-01-01,153904222.624227
1987-02-01,154102145.67318898
1987-03-01,154173400.871997
1987-04-01,154370708.238252
1987-05-01,154519224.47445598
1987-06-01,154600977.96311298
1987-07-01,154689933.89242202
1987-08-01,154798240.100748
1987-09-01,154927947.275461
1987-10-01,155015305.716921
1987-11-01,155189487.802811
1987-12-01,155280591.230524
1988-01-01,155411689.67988798
1988-02-01,155551285.09950203
1988-03-01,155611785.887765
1988-04-01,155671139.72863498
1988-05-01,155815910.599413
1988-06-01,155987507.741728
1988-07-01,156087204.700295
1988-08-01,156153237.87016702
1988-09-01,156273467.033427
1988-10-01,156357774.12371
1988-11-01,156454086.534935
1988-12-01,156549650.301344
1989-01-01,156745947.878381
1989-02-01,156879753.21712798
1989-03-01,156972898.817704
1989-04-01,156910892.12322798
1989-05-01,156986993.114855
1989-06-01,157082217.78856403
1989-07-01,157147232.790409
1989-08-01,157272826.106961
1989-09-01,157504590.17899698
1989-10-01,157552281.208512
1989-11-01,157678733.26365802
1989-12-01,157818453.719092
1990-01-01,159330528.514247
1990-02-01,159504671.382097
1990-03-01,159566354.6502
1990-04-01,159630343.432533
1990-05-01,159657481.758869
1990-06-01,159780676.451751
1990-07-01,159818424.509332
1990-08-01,159974034.952818
1990-09-01,160242673.83505598
1990-10-01,160334200.729934
1990-11-01,160562864.035493
1990-12-01,160710381.888862
1991-01-01,160506259.70792702
1991-02-01,160610466.85700402
1991-03-01,160826094.861561
1991-04-01,160864972.04985002
1991-05-01,161036241.843579
1991-06-01,161131629.75293598
1991-07-01,161186355.087537
1991-08-01,161396073.069294
1991-09-01,161641179.909336
1991-10-01,161727030.674251
1991-11-01,161888633.487443
1991-12-01,162026263.90548602
1992-01-01,161716285.751858
1992-02-01,161880270.56266
1992-03-01,162081142.981863
1992-04-01,162320903.67960602
1992-05-01,162461867.70575902
1992-06-01,162386120.581269
1992-07-01,162486674.906508
1992-08-01,162850411.792414
1992-09-01,163131922.946884
1992-10-01,163254553.487316
1992-11-01,163363653.32346597
1992-12-01,163497538.73876297
1993-01-01,163306211.048299
1993-02-01,163482925.422445
1993-03-01,163623242.351719
1993-04-01,163887557.651153
1993-05-01,164037327.329134
1993-06-01,164031895.275021
1993-07-01,164180182.442422
1993-08-01,164420726.312603
1993-09-01,164622366.78511098
1993-10-01,164811004.673102
1993-11-01,164890439.13386098
1993-12-01,165052596.77549502
1994-01-01,165000707.04444098
1994-02-01,165174380.496035
1994-03-01,165349800.944245
1994-04-01,165483615.78283298
1994-05-01,165610019.962088
1994-06-01,165724493.69594198
1994-07-01,165856349.609714
1994-08-01,165945533.48946398
1994-09-01,166125063.677934
1994-10-01,166304758.755579
1994-11-01,166371087.481012
1994-12-01,166573248.065361
1995-01-01,166497787.98263702
1995-02-01,166653533.657091
1995-03-01,166742950.702534
1995-04-01,166916249.290254
1995-05-01,166944744.455434
1995-06-01,167042998.921598
1995-07-01,167166624.207442
1995-08-01,167315895.860472
1995-09-01,167456704.101192
1995-10-01,167602584.80070302
1995-11-01,167662710.584591
1995-12-01,167866172.15316
1996-01-01,167857932.284665
1996-02-01,168067236.41406402
1996-03-01,168265817.403678
1996-04-01,168545200.268243
1996-05-01,168679940.095119
1996-06-01,168830350.07922903
1996-07-01,168911181.737965
1996-08-01,169071161.0083
1996-09-01,169243878.582178
1996-10-01,169383661.12403798
1996-11-01,169535888.125694
1996-12-01,169735691.387196
1997-01-01,170270281.89339
1997-02-01,170445838.940616
1997-03-01,170697954.64554498
1997-04-01,170769965.28430098
1997-05-01,170976726.217214
1997-06-01,171109464.545339
1997-07-01,171229441.018038
1997-08-01,171342655.049606
1997-09-01,171474104.230386
1997-10-01,171627615.623033
1997-11-01,171823306.598666
1997-12-01,171966456.93766
1998-01-01,172111397.331638
1998-02-01,172281837.467893
1998-03-01,172397303.295272
1998-04-01,172571240.966324
1998-05-01,172766991.95121402
1998-06-01,172932048.318319
1998-07-01,173066848.902182
1998-08-01,173219896.895338
1998-09-01,173354579.64142302
1998-10-01,173525639.29597202
1998-11-01,173797700.97044402
1998-12-01,173938165.19700402
1999-01-01,174445789.402333
1999-02-01,174558488.386182
1999-03-01,174700253.723927
1999-04-01,174766766.637716
1999-05-01,174986735.376435
1999-06-01,175221355.85158002
1999-07-01,175381937.003419
1999-08-01,175537130.825507
1999-09-01,175621210.832324
1999-10-01,175890926.282953
1999-11-01,176063835.203035
1999-12-01,176253493.19315502
2000-01-01,178292111.499703
2000-02-01,178343252.380152
2000-03-01,178405530.577838
2000-04-01,178580673.31759802
2000-05-01,178727196.93473902
2000-06-01,179056503.64963502
2000-07-01,179324021.13290802
2000-08-01,179394681.63639998
2000-09-01,179565600.398121
2000-10-01,179754151.01983702
2000-11-01,179928461.621573
2000-12-01,180139106.655557
2001-01-01,180416623.504647
2001-02-01,180577730.832361
2001-03-01,180636104.798121
2001-04-01,180905518.18309098
2001-05-01,181014608.335271
2001-06-01,181356522.93578
2001-07-01,181614328.81665298
2001-08-01,181828452.476108
2001-09-01,182056480.622264
2001-10-01,182236635.463239
2001-11-01,182430585.042328
2001-12-01,182641878.738253
2002-01-01,182566431.891724
2002-02-01,182798390.110259
2002-03-01,183078312.425159
2002-04-01,183260453.015323
2002-05-01,183508212.496981
2002-06-01,183669058.444073
2002-07-01,183886883.515181
2002-08-01,184159563.752198
2002-09-01,184422418.039234
2002-10-01,184554225.96952
2002-11-01,184744733.23744202
2002-12-01,184860046.150508
2003-01-01,185635346.37315002
2003-02-01,185869692.256356
2003-03-01,186085118.209936
2003-04-01,186470753.987361
2003-05-01,186649077.97267702
2003-06-01,186800679.576504
2003-07-01,187066500.33798298
2003-08-01,187304009.475925
2003-09-01,187538981.253475
2003-10-01,187738514.819484
2003-11-01,187972351.58827302
2003-12-01,188136094.87789
2004-01-01,187688839.482615
2004-02-01,187876003.023031
2004-03-01,188058175.618794
2004-04-01,188320660.933455
2004-05-01,188475226.058824
2004-06-01,188689296.34988898
2004-07-01,188839779.735266
2004-08-01,189070874.198522
2004-09-01,189216972.380313
2004-10-01,189444450.963992
2004-11-01,189655307.838414
2004-12-01,189811053.36688298
2005-01-01,189990144.46577498
2005-02-01,190144602.89026898
2005-03-01,190460726.509212
2005-04-01,190466075.803662
2005-05-01,190709890.602971
2005-06-01,190962474.634275
2005-07-01,191114389.968375
2005-08-01,191266452.871752
2005-09-01,191438220.909398
2005-10-01,191655197.459811
2005-11-01,191932856.777771
2005-12-01,192145684.546109
2006-01-01,192351175.11558202
2006-02-01,192542751.521493
2006-03-01,192688879.143996
2006-04-01,192814750.630729
2006-05-01,192912759.18521798
2006-06-01,193147767.04692298
2006-07-01,193315277.68087
2006-08-01,193456234.309971
2006-09-01,193556767.582028
2006-10-01,193703230.089313
2006-11-01,193949729.62242302
2006-12-01,194181587.897399
2007-01-01,194951758.751848
2007-02-01,195126741.73179302
2007-03-01,195232594.44513398
2007-04-01,195285473.944645
2007-05-01,195378957.753014
2007-06-01,195626531.991346
2007-07-01,195763504.072784
2007-08-01,195850812.920352
2007-09-01,195981075.168908
2007-10-01,196079324.765129
2007-11-01,196221924.559695
2007-12-01,196456046.63756302
2008-01-01,196086885.646281
2008-02-01,196234596.966847
2008-03-01,196399720.740184
2008-04-01,196185183.956292
2008-05-01,196465025.840138
2008-06-01,196572839.950144
2008-07-01,196675087.052917
2008-08-01,196811699.220529
2008-09-01,196983627.413106
2008-10-01,197148227.499098
2008-11-01,197282902.994639
2008-12-01,197450630.74704
2009-01-01,196957168.078512
2009-02-01,197130254.265795
2009-03-01,197296740.79632598
2009-04-01,197765218.550998
2009-05-01,197891891.901038
2009-06-01,197604115.283094
2009-07-01,197767457.71878
2009-08-01,198115216.55840102
2009-09-01,198362395.499829
2009-10-01,198618566.659451
2009-11-01,198613900.54709402
2009-12-01,198622777.171291
2010-01-01,198064131.621042
2010-02-01,198328300.957783
2010-03-01,198648956.056007
2010-04-01,199116837.453571
2010-05-01,199225487.91262698
2010-06-01,198999262.421882
2010-07-01,199105074.427268
2010-08-01,199360082.210574
2010-09-01,199591386.883824
2010-10-01,199860409.9584
2010-11-01,199933840.025682
2010-12-01,199961557.434899
2011-01-01,199070588.283022
2011-02-01,199328475.322804
2011-03-01,199524091.216163
2011-04-01,199950702.45863
2011-05-01,200048232.572712
2011-06-01,199917201.43496
2011-07-01,200019712.799292
2011-08-01,200121131.328388
2011-09-01,200261981.843865
2011-10-01,200456315.211364
2011-11-01,200414593.178849
2011-12-01,200418323.18193
2012-01-01,201012879.326228
2012-02-01,201108274.046387
2012-03-01,201199800.545114
2012-04-01,201473874.824689
2012-05-01,201512387.169875
2012-06-01,201442085.960376
2012-07-01,201434361.59993002
2012-08-01,201503946.658442
2012-09-01,201622437.000035
2012-10-01,201721747.344093
2012-11-01,201770072.04988402
2012-12-01,201889077.49231097
2013-01-01,201739926.713021
2013-02-01,201879587.833252
2013-03-01,202092974.71228802
2013-04-01,202114604.53795
2013-05-01,202300530.337311
2013-06-01,202335339.614864
2013-07-01,202343929.264849
2013-08-01,202433138.888136
2013-09-01,202607857.442801
2013-10-01,202635928.413109
2013-11-01,202701720.34911
2013-12-01,202726176.172807
2014-01-01,202493411.868639
2014-02-01,202561070.650782
2014-03-01,202693607.013295
2014-04-01,202799483.716883
2014-05-01,202923873.293004
2014-06-01,203093194.09441102
2014-07-01,203116450.81081802
2014-08-01,203209765.041602
2014-09-01,203253731.075518
2014-10-01,203283833.574695
2014-11-01,203371703.64192802
2014-12-01,203426054.88517302
2015-01-01,203882371.279071
2015-02-01,203937741.55820802
2015-03-01,204002981.996736
2015-04-01,204017514.634363
2015-05-01,204232987.717287
2015-06-01,204417752.572942
2015-07-01,204506088.881945
2015-08-01,204556122.755438
2015-09-01,204527761.662847
2015-10-01,204580177.077722
2015-11-01,204606894.69812602
2015-12-01,204720548.387829
2016-01-01,205109771.430019
2016-02-01,205162885.835179
2016-03-01,205294868.071864
2016-04-01,205241855.30181
2016-05-01,205444475.592398
2016-06-01,205611840.100965
2016-07-01,205721546.247137
2016-08-01,205719975.952004
2016-09-01,205746285.757389
2016-10-01,205823439.447656
2016-11-01,205811828.227144
2016-12-01,205949625.56747198
2017-01-01,205344403.837718
2017-02-01,205351513.930728
2017-03-01,205267918.37708
2017-04-01,205393193.929005
2017-05-01,205502426.80103898
2017-06-01,205687226.297763
2017-07-01,205738306.568501
2017-08-01,205719781.08453402
2017-09-01,205689659.650249
2017-10-01,205674728.188026
2017-11-01,205660685.323879
2017-12-01,205804333.906644
2018-01-01,206344543.075414
2018-02-01,206312186.569498
2018-03-01,206372831.658204
2018-04-01,206276661.888112
2018-05-01,206525473.357245
2018-06-01,206659173.823112
2018-07-01,206655624.781373
2018-08-01,206658042.804232
2018-09-01,206634780.35646102
2018-10-01,206625758.029937
2018-11-01,206649232.130241
2018-12-01,206768336.69479
2019-01-01,206195132.97697598
2019-02-01,206161240.463152
2019-03-01,206102863.946716
2019-04-01,206172550.777842
2019-05-01,206450917.997713
2019-06-01,206561471.831503
2019-07-01,206406247.33032
2019-08-01,206400190.485784
2019-09-01,206317795.986342
2019-10-01,206248793.258298
2019-11-01,206324586.903383
2019-12-01,206397971.567839
2020-01-01,205738360.634943
2020-02-01,205608674.614351
2020-03-01,205444401.983235
2020-04-01,206991879.72206402
2020-05-01,206806811.868266
2020-06-01,205516631.83436102
2020-07-01,205383291.36988702
2020-08-01,205756721.97144198
2020-09-01,206102392.89660498
2020-10-01,206062967.906825
2020-11-01,206157848.349687
2020-12-01,206072530.61728498
2021-01-01,204942957.947155
2021-02-01,204900632.51885098
2021-03-01,205013086.55691302
2021-04-01,205390470.988754
2021-05-01,205611509.05951402
2021-06-01,205376625.956331
2021-07-01,205344083.081467
2021-08-01,205334928.579499
2021-09-01,205452287.61356398
